"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.101611","13.107.43.16","192.168.43.100","TCP","54","443  >  57549 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"20","1.926699","192.168.43.100","142.251.12.190","TCP","66","58006  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"21","2.031961","142.251.12.190","192.168.43.100","TCP","66","443  >  58006 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=4 SACK_PERM=1"
"22","2.032147","192.168.43.100","142.251.12.190","TCP","54","58006  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"23","2.034827","192.168.43.100","142.251.12.190","TLSv1.2","231","Client Hello"
"24","2.083351","142.251.12.190","192.168.43.100","TCP","54","443  >  58006 [ACK] Seq=1 Ack=178 Win=4376 Len=0"
"25","2.115686","142.251.12.190","192.168.43.100","TLSv1.2","1454","Server Hello"
"26","2.121623","142.251.12.190","192.168.43.100","TCP","1454","443  >  58006 [PSH, ACK] Seq=1401 Ack=178 Win=4376 Len=1400 [TCP segment of a reassembled PDU]"
"27","2.121732","192.168.43.100","142.251.12.190","TCP","54","58006  >  443 [ACK] Seq=178 Ack=2801 Win=131584 Len=0"
"28","2.122405","142.251.12.190","192.168.43.100","TCP","1454","443  >  58006 [PSH, ACK] Seq=2801 Ack=178 Win=4376 Len=1400 [TCP segment of a reassembled PDU]"
"29","2.158745","142.251.12.190","192.168.43.100","TCP","1454","443  >  58006 [PSH, ACK] Seq=4201 Ack=178 Win=4376 Len=1400 [TCP segment of a reassembled PDU]"
"30","2.158856","192.168.43.100","142.251.12.190","TCP","54","58006  >  443 [ACK] Seq=178 Ack=5601 Win=131584 Len=0"
"31","2.218165","142.251.12.190","192.168.43.100","TLSv1.2","1036","Certificate, Server Key Exchange, Server Hello Done"
