No.;Time;;;;;time 2;time 1;delay;;delay 2;delay 1;jitter
3;0,101611;;;;;1,926699;0,101611;1,825088;;0,105262;1,825088;-1,719826
20;1,926699;1,926699;;;;2,031961;1,926699;0,105262;;0,000186;0,105262;-0,105076
21;2,031961;2,031961;;;;2,032147;2,031961;0,000186;;0,00268;0,000186;0,002494
22;2,032147;2,032147;;;;2,034827;2,032147;0,00268;;0,048524;0,00268;0,045844
23;2,034827;2,034827;;;;2,083351;2,034827;0,048524;;0,032335;0,048524;-0,016189
24;2,083351;2,083351;;;;2,115686;2,083351;0,032335;;0,005937;0,032335;-0,026398
25;2,115686;2,115686;;;;2,121623;2,115686;0,005937;;0,000109;0,005937;-0,005828
26;2,121623;2,121623;;;;2,121732;2,121623;0,000109;;0,000673;0,000109;0,000564
27;2,121732;2,121732;;;;2,122405;2,121732;0,000673;;0,03634;0,000673;0,035667
28;2,122405;2,122405;;;;2,158745;2,122405;0,03634;;0,000111;0,03634;-0,036229
29;2,158745;2,158745;;;;2,158856;2,158745;0,000111;;0,059309;0,000111;0,059198
30;2,158856;2,158856;;;;2,218165;2,158856;0,059309;;0,006532;0,059309;-0,052777
31;2,218165;2,218165;;;;2,224697;2,218165;0,006532;;0,025394;0,006532;0,018862
32;2,224697;2,224697;;;;2,250091;2,224697;0,025394;;0,019832;0,025394;-0,005562
33;2,250091;2,250091;;;;2,269923;2,250091;0,019832;;0,004199;0,019832;-0,015633
34;2,269923;2,269923;;;;2,274122;2,269923;0,004199;;0;0,004199;-0,004199
35;2,274122;2,274122;;;;2,274122;2,274122;0;;0,003972;0;0,003972
36;2,274122;2,274122;;;;2,278094;2,274122;0,003972;;0,043011;0,003972;0,039039
37;2,278094;2,278094;;;;2,321105;2,278094;0,043011;;0,13714;0,043011;0,094129
38;2,321105;2,321105;;;;2,458245;2,321105;0,13714;;0,153005;0,13714;0,015865
39;2,458245;2,458245;;;;2,61125;2,458245;0,153005;;0,170748;0,153005;0,017743
40;2,61125;2,61125;;;;2,781998;2,61125;0,170748;;0,059037;0,170748;-0,111711
41;2,781998;2,781998;;;;2,841035;2,781998;0,059037;;0,138749;0,059037;0,079712
42;2,841035;2,841035;;;;2,979784;2,841035;0,138749;;0;0,138749;-0,138749
43;2,979784;2,979784;;;;2,979784;2,979784;0;;0,000304;0;0,000304
44;2,979784;2,979784;;;;2,980088;2,979784;0,000304;;0,007624;0,000304;0,00732
45;2,980088;2,980088;;;;2,987712;2,980088;0,007624;;0,006806;0,007624;-0,000818
46;2,987712;2,987712;;;;2,994518;2,987712;0,006806;;0,000135;0,006806;-0,006671
47;2,994518;2,994518;;;;2,994653;2,994518;0,000135;;0,000422;0,000135;0,000287
48;2,994653;2,994653;;;;2,995075;2,994653;0,000422;;0,000873;0,000422;0,000451
49;2,995075;2,995075;;;;2,995948;2,995075;0,000873;;0,000123;0,000873;-0,00075
50;2,995948;2,995948;;;;2,996071;2,995948;0,000123;;0,003519;0,000123;0,003396
51;2,996071;2,996071;;;;2,99959;2,996071;0,003519;;0,002514;0,003519;-0,001005
52;2,99959;2,99959;;;;3,002104;2,99959;0,002514;;0,000112;0,002514;-0,002402
53;3,002104;3,002104;;;;3,002216;3,002104;0,000112;;0,016659;0,000112;0,016547
54;3,002216;3,002216;;;;3,018875;3,002216;0,016659;;0,005902;0,016659;-0,010757
55;3,018875;3,018875;;;;3,024777;3,018875;0,005902;;0,000133;0,005902;-0,005769
56;3,024777;3,024777;;;;3,02491;3,024777;0,000133;;0,011649;0,000133;0,011516
57;3,02491;3,02491;;;;3,036559;3,02491;0,011649;;0,014306;0,011649;0,002657
58;3,036559;3,036559;;;;3,050865;3,036559;0,014306;;0,000101;0,014306;-0,014205
